type,value,confidence
domain,222.138.149.37:60491,high
domain,182.118.242.64:50555,high
domain,78.29.45.8,high
domain,125.44.18.188:55247,high
domain,59.182.214.111:57402,high
domain,120.79.64.164:58232,high
domain,61.52.5.151:53545,high
domain,14.161.88.219:8082,high
domain,120.157.148.31:86,high
domain,2.56.246.174,high
domain,42.53.121.46:47553,high
domain,222.140.227.154:57843,high
domain,italia-committees-practical-violence.trycloudflare.com,high
domain,178.214.241.150:28760,high
domain,61.54.217.167:58235,high
domain,42.232.64.94:38943,high
domain,64thservu.neocities.org,high
domain,1.70.8.239:53730,high
domain,47.254.149.115:8081,high
domain,103.147.137.35:56606,high
domain,8.137.98.198:8899,high
domain,182.112.31.227:34136,high
domain,222.141.21.142:56114,high
domain,89.67.24.6:47241,high
domain,117.215.183.61:52378,high
domain,119.4.46.166:43400,high
domain,91.80.165.19,high
domain,221.14.112.242:44610,high
domain,61.54.253.245:38576,high
domain,acrobat-updater.com,high
domain,141.98.6.34,high
domain,182.121.80.103:42281,high
domain,83.224.134.138,high
domain,79.164.59.175:57916,high
domain,182.126.118.215:52539,high
domain,123.232.170.224:49521,high
domain,222.138.151.39:54131,high
domain,95.72.153.16:46070,high
domain,101.58.146.184:9454,high
domain,83.239.7.38:8181,high
domain,42.53.154.245:56850,high
domain,182.115.230.40:36305,high
domain,119.108.234.6:53673,high
domain,123.129.11.33:36424,high
domain,42.224.136.142:53421,high
domain,182.127.35.243:54920,high
domain,185.121.13.159,high
domain,42.179.62.135:45713,high
domain,212.64.201.67:8000,high
domain,117.247.189.61:33734,high
domain,42.239.228.119:51255,high
domain,c10.patreonusercontent.com,high
domain,bet73039.com,high
domain,storage.googleapis.com,high
domain,119.100.107.55:37562,high
domain,60.17.78.95:49409,high
domain,117.209.86.56:47783,high
domain,27.75.205.26:8080,high
domain,leaksteen.xyz,high
domain,94.26.90.43,high
domain,221.15.196.225:37586,high
domain,60.23.139.42:52358,high
domain,117.209.82.49:58860,high
domain,175.150.207.151:37333,high
domain,123.10.35.41:57416,high
domain,189.165.255.211:4002,high
domain,42.85.190.75:40407,high
domain,218.250.15.6:59550,high
domain,124.194.46.204:44528,high
domain,42.177.198.96:53614,high
domain,119.116.37.11:42033,high
domain,supercleanspb.ru,high
domain,115.56.115.135:48686,high
domain,122.170.110.131:9105,high
domain,200.59.88.210:34859,high
domain,115.50.65.134:40367,high
